sweep,param_name,param,beta,theta,g,variant,k_value,ordered_p00,ordered_coh,ordered_ratio,model_p00,model_coh,model_ratio,dp00,dcoh,ratio_rel_err
coupling,g,1.4000000000000001,2.0,0.7853981633974483,1.4000000000000001,chi_only,0.9450000000000002,0.162999041883211,0.28771552436849174,0.19474176260198175,0.16359913483902244,0.35361991443073776,0.1955989545844568,0.0006000929558114543,0.06590439006224602,0.004401685447548376
coupling,g,1.4000000000000001,2.0,0.7853981633974483,1.4000000000000001,delta_only,1.0950000000000002,0.162999041883211,0.28771552436849174,0.19474176260198175,0.15887224038485348,0.3124572475809279,0.18888003465436048,-0.004126801498357507,0.024741723212436173,-0.030100004587108597
coupling,g,1.5,2.0,0.7853981633974483,1.5,baseline,1.0,0.16473165114097577,0.2898680177051373,0.19722003277868608,0.13768085907253824,0.2906775728324035,0.15966346163261144,-0.027050792068437524,0.0008095551272661594,-0.19042979872242183
coupling,g,1.5,2.0,0.7853981633974483,1.5,chi_only,0.9450000000000002,0.16473165114097577,0.2898680177051373,0.19722003277868608,0.164863652925696,0.3566907872806828,0.19740926556873675,0.00013200178472022595,0.0668227695755455,0.0009595008548803907
coupling,g,1.5,2.0,0.7853981633974483,1.5,delta_only,1.0950000000000002,0.16473165114097577,0.2898680177051373,0.19722003277868608,0.1597393390293806,0.3143803002429776,0.1901068875994494,-0.004992312111595176,0.02451228253784027,-0.0360670520079408
coupling,g,1.6,2.0,0.7853981633974483,1.6,baseline,1.0,0.16625890076292388,0.2917348139672737,0.19941310427788786,0.13830686385873459,0.2921978208400238,0.16050593657747397,-0.027952036904189292,0.00046300687275013797,-0.19510837986953777
coupling,g,1.6,2.0,0.7853981633974483,1.6,chi_only,0.9450000000000002,0.16625890076292388,0.2917348139672737,0.19941310427788786,0.16590353020878335,0.3592161215954398,0.19890208892780806,-0.00035537055414053276,0.06748130762816612,-0.002562596635413139
coupling,g,1.6,2.0,0.7853981633974483,1.6,delta_only,1.0950000000000002,0.16625890076292388,0.2917348139672737,0.19941310427788786,0.16044735298539498,0.3159505346464969,0.19111053196715583,-0.005811547777528903,0.02421572067922323,-0.041635038684128656
coupling,g,1.7000000000000002,2.0,0.7853981633974483,1.7000000000000002,baseline,1.0,0.16761590632106335,0.29337130497107455,0.20136846390257357,0.13882539607802857,0.2934570725113391,0.16120470279289278,-0.028790510243034778,8.576754026456967e-05,-0.19945407702525297
coupling,g,1.7000000000000002,2.0,0.7853981633974483,1.7000000000000002,chi_only,0.9450000000000002,0.16761590632106335,0.29337130497107455,0.20136846390257357,0.1667685898980264,0.36131691267251004,0.20014678740641417,-0.0008473164230369534,0.06794560770143548,-0.00606687101089709
coupling,g,1.7000000000000002,2.0,0.7853981633974483,1.7000000000000002,delta_only,1.0950000000000002,0.16761590632106335,0.29337130497107455,0.20136846390257357,0.16103287208628309,0.3172490997783318,0.19194181360445914,-0.006583034234780266,0.02387779480725727,-0.04681294238146072
coupling,g,1.8,2.0,0.7853981633974483,1.8,baseline,1.0,0.16882942488271946,0.2948181145893819,0.2031224756228854,0.1392596640517499,0.2945116890835773,0.16179056358307173,-0.02956976083096957,-0.00030642550580461947,-0.2034827111724946
coupling,g,1.8,2.0,0.7853981633974483,1.8,chi_only,0.9450000000000002,0.16882942488271946,0.2948181145893819,0.2031224756228854,0.167495686033375,0.36308266027618047,0.2011949766786312,-0.0013337388493444569,0.06826454568679857,-0.009489343502453007
coupling,g,1.8,2.0,0.7853981633974483,1.8,delta_only,1.0950000000000002,0.16882942488271946,0.2948181145893819,0.2031224756228854,0.16152257447356372,0.31833516246037574,0.19263795250319604,-0.007306850409155741,0.023517047870993846,-0.05161675529769927
coupling,g,1.9000000000000001,2.0,0.7853981633974483,1.9000000000000001,baseline,1.0,0.16992046738094824,0.29610609880561073,0.20470383945598356,0.1396269535612557,0.29540364894931453,0.16228652691899118,-0.03029351381969253,-0.0007024498562961945,-0.2072130774377252
coupling,g,1.9000000000000001,2.0,0.7853981633974483,1.9000000000000001,chi_only,0.9450000000000002,0.16992046738094824,0.29610609880561073,0.20470383945598356,0.16811251604027505,0.3645806273999279,0.20208564172653673,-0.0018079513406731862,0.06847452859431719,-0.01279017402118543
coupling,g,1.9000000000000001,2.0,0.7853981633974483,1.9000000000000001,delta_only,1.0950000000000002,0.16992046738094824,0.29610609880561073,0.20470383945598356,0.1619362685345747,0.3192526537634962,0.19322667531670348,-0.007984198846373525,0.02314655495788548,-0.05606716595927819
coupling,g,2.0,2.0,0.7853981633974483,2.0,baseline,1.0,0.17090591693543924,0.29725935390629976,0.2061357334787914,0.1399403458595248,0.2961647198349575,0.16271004596696043,-0.03096557107591444,-0.0010946340713422487,-0.21066550073085166
coupling,g,2.0,2.0,0.7853981633974483,2.0,chi_only,0.9450000000000002,0.17090591693543924,0.29725935390629976,0.2061357334787914,0.16864020030362348,0.3658621047427491,0.20284863468887127,-0.0022657166318157673,0.06860275083644934,-0.01594628323021119
coupling,g,2.0,2.0,0.7853981633974483,2.0,delta_only,1.0950000000000002,0.17090591693543924,0.29725935390629976,0.2061357334787914,0.1622889044934701,0.3200347303170331,0.193728966184148,-0.008617012441969135,0.02277537641073335,-0.06018736822221027
temperature,beta,0.2,0.2,1.5707963267948966,0.5,baseline,1.0,0.4171092362821627,1.1104833838429517e-17,0.7155873145453969,0.41557499254551095,8.872989626556548e-19,0.7110835218287148,-0.0015342437366517303,-1.0217534875773862e-17,-0.006293840912402593
temperature,beta,0.2,0.2,1.5707963267948966,0.5,chi_only,0.9450000000000002,0.4171092362821627,1.1104833838429517e-17,0.7155873145453969,0.41557543809032244,8.873266806025564e-19,0.7110848262988464,-0.001533798191840241,-1.021750715782696e-17,-0.0062920179760466155
temperature,beta,0.2,0.2,1.5707963267948966,0.5,delta_only,1.0950000000000002,0.4171092362821627,1.1104833838429517e-17,0.7155873145453969,0.41693773277140134,8.87741442964236e-19,0.7150826870570487,-0.0001715035107613394,-1.0217092395465281e-17,-0.0007051934517157132
temperature,beta,0.49,0.49,1.5707963267948966,0.5,baseline,1.0,0.34517153680007984,3.058436002985964e-18,0.5271174913707108,0.3346339326132875,4.142115060379386e-18,0.5029320685492628,-0.010537604186792338,1.083679057393422e-18,-0.04588241372631474
temperature,beta,0.49,0.49,1.5707963267948966,0.5,chi_only,0.9450000000000002,0.34517153680007984,3.058436002985964e-18,0.5271174913707108,0.33468396799303757,4.145471799714252e-18,0.5030450972050755,-0.010487568807042269,1.0870357967282878e-18,-0.04566798590393528
temperature,beta,0.49,0.49,1.5707963267948966,0.5,delta_only,1.0950000000000002,0.34517153680007984,3.058436002985964e-18,0.5271174913707108,0.34085335695644875,4.163798672990715e-18,0.5171130894069164,-0.004318179843631087,1.1053626700047506e-18,-0.018979453589709427
temperature,beta,0.78,0.78,1.5707963267948966,0.5,baseline,1.0,0.307164783426711,1.5362465087326882e-17,0.4433446454207755,0.2851211619058559,8.467615481522997e-18,0.3988384418623784,-0.022043621520855095,-6.894849605803885e-18,-0.10038737135565623
temperature,beta,0.78,0.78,1.5707963267948966,0.5,chi_only,0.9450000000000002,0.307164783426711,1.5362465087326882e-17,0.4433446454207755,0.2856116914108256,8.504876152579883e-18,0.3997989440432923,-0.0215530920158854,-6.8575889347469994e-18,-0.09822088036307342
temperature,beta,0.78,0.78,1.5707963267948966,0.5,delta_only,1.0950000000000002,0.307164783426711,1.5362465087326882e-17,0.4433446454207755,0.2976898918653704,8.604874417154295e-18,0.423872429596734,-0.00947489156134057,-6.757590670172587e-18,-0.043921170640418006
temperature,beta,1.0699999999999998,1.0699999999999998,1.5707963267948966,0.5,baseline,1.0,0.2861407485952839,2.301802126358557e-17,0.4008363665977888,0.256595201097322,1.3409323702814345e-17,0.345162153211919,-0.0295455474979619,-9.608697560771224e-18,-0.13889511537693133
