beta,omega_q,theta,g,omega_min,omega_max,n_modes,n_cut,ordered_p00,ordered_coh,analytic_cont_p00,analytic_cont_coh,analytic_disc_p00,analytic_disc_coh,ed_p00,ed_coh,d_ed_ordered_p00,d_ed_cont_p00,d_ed_disc_p00,d_ed_ordered_coh,d_ed_cont_coh,d_ed_disc_coh
4.125,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.2597662095174385,2.2591978025036506e-17,0.25707834514691663,3.693922891113898e-17,0.3359939619308407,4.965072772104989e-17,0.3427846898173031,4.517835965359777e-16,0.08301848029986458,0.08570634467038646,0.0067907278864624,4.291916185109412e-16,4.148443676248387e-16,4.0213286881492785e-16
4.7124999999999995,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.2543821579298529,1.1333744021593488e-17,0.2754459989241644,4.6558886939786726e-17,0.3463441230417898,6.035847416173932e-17,0.34604648366071156,5.560091855450259e-16,0.09166432573085864,0.07060048473654718,-0.00029763938107824073,5.446754415234323e-16,5.094502986052392e-16,4.956507113832866e-16
5.3,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.24969217937213253,1.0913138626251826e-18,0.29650300800909635,5.692494534621827e-17,0.3560365925599832,7.130750267756225e-17,0.3488158867214129,6.624092706109251e-16,0.09912370734928036,0.052312878712316546,-0.007220705838570318,6.613179567482999e-16,6.054843252647069e-16,5.911017679333629e-16
5.8875,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.24560148416207422,2.608647115197329e-18,0.3168144995422377,6.721655346853571e-17,0.3636602259030667,8.198974725718475e-17,0.35113369690080265,7.699435911693198e-16,0.10553221273872843,0.034319197358564923,-0.01252652900226403,7.673349440541225e-16,7.027270377007842e-16,6.87953843912135e-16
6.475,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.24207787204250775,1.1606821266487056e-17,0.3337484465229323,7.656447625106973e-17,0.3685205969512779,9.195201266510225e-17,0.35305733728907485,8.778313455590678e-16,0.1109794652465671,0.01930889076614256,-0.015463259662203077,8.662245242925807e-16,8.012668693079981e-16,7.858793328939655e-16
7.0625,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.2391126574187376,1.6734514059132634e-17,0.34595501107740967,8.433995790324362e-17,0.3705186530777369,1.0087435641705716e-16,0.3546455508984706,9.855086194335485e-16,0.115532893479733,0.008690539821060939,-0.015873102179266296,9.687741053744159e-16,9.011686615303048e-16,8.846342630164914e-16
7.65,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.23670240231167153,2.862468064540775e-17,0.35327144032212215,9.027726488953595e-17,0.3699378232433306,1.0858880478515729e-16,0.35595248491791504,1.092589644221706e-15,0.11925008260624351,0.002681044595792881,-0.013985338325415542,1.0639649635762983e-15,1.0023123793321702e-15,9.840008394365487e-16
8.2375,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.2348406130613933,7.140620013767063e-19,0.35628833412426697,9.442367848337935e-17,0.3672398382380374,1.150558224984906e-16,0.3570256719844248,1.1988299417948984e-15,0.1221850589230315,0.0007373378601578384,-0.0102141662536126,1.1981158797935218e-15,1.104406263311519e-15,1.0837741192964078e-15
8.825,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.23351442403642175,2.7648264857725704e-17,0.35590169826478957,9.701282804784932e-17,0.36291920268314937,1.2032404861903862e-16,0.357905729414335,1.3040928996573876e-15,0.12439130537791326,0.002004031149545449,-0.00501347326881435,1.276444634799662e-15,1.2070800716095382e-15,1.183768851038349e-15
9.4125,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.23270385441565258,2.598158044865964e-17,0.3530126982799844,9.834644306898121e-17,0.3574217653611946,1.2449160107386512e-16,0.3586268085089844,1.4083211392564323e-15,0.1259229540933318,0.005614110228999991,0.0012050431477897972,1.3823395588077726e-15,1.309974696187451e-15,1.2838295381825671e-15
10.0,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.23238239127735477,2.752983747453254e-18,0.3483839536000921,9.87183398311614e-17,0.35111173110380745,1.2767705689972216e-16,0.3592173338754998,1.5115131560779613e-15,0.12683494259814504,0.0108333802754077,0.008105602771692366,1.508760172330508e-15,1.4127948162468e-15,1.3838360991782392e-15
0.6,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.3875258706128541,3.603038842269087e-18,0.38268212838759436,1.7976143567132074e-18,0.4021687371179293,3.03372329212719e-18,0.3869636237087988,3.7400955961399635e-18,-0.0005622469040553191,0.0042814953212044204,-0.0152051134091305,1.3705675387087628e-19,1.942481239426756e-18,7.063723040127735e-19
1.1875,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.3306654583524356,2.2105796893250305e-17,0.3133858716823269,5.563158376707611e-18,0.3570606449310244,8.61254802078983e-18,0.34678432190057484,2.3427716120010185e-17,0.01611886354813924,0.033398450218247944,-0.010276323030449563,1.3219192267598797e-18,1.7864557743302574e-17,1.4815168099220353e-17
1.775,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.3012130823410807,4.694839690666928e-18,0.27198411074647777,1.019799248475258e-17,0.33362236669740797,1.514657776388439e-17,0.3387813200045166,4.421071215403617e-17,0.03756823766343592,0.06679720925803884,0.005158953307108638,3.9515872463369247e-17,3.4012719669283594e-17,2.906413439015178e-17
2.3625000000000003,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.2846037740205399,4.207378073791339e-19,0.24959719854383494,1.5447894505341032e-17,0.3232114615140754,2.2415500917728458e-17,0.3405159567729383,6.462944219767176e-17,0.0559121827523984,0.09091875822910334,0.01730449525886285,6.420870439029262e-17,4.918154769233073e-17,4.2213941279943304e-17
2.95,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.27391922987787504,3.8294474375687935e-18,0.2415027821319609,2.1465649099527434e-17,0.3219301584326498,3.0533677659436564e-17,0.344530330817761,8.466413501142692e-17,0.07061110093988598,0.10302754868580011,0.022600172385111195,8.083468757385813e-17,6.319848591189949e-17,5.4130457351990356e-17
3.5375,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.26608627215108943,7.565983560414363e-18,0.2448139194303957,2.8553159109865595e-17,0.3270425592881051,3.9623598235421264e-17,0.3487045062400287,1.0422224896102738e-16,0.08261823408893926,0.10389058680963298,0.021661946951923583,9.665626540061301e-17,7.566908985116179e-17,6.459865072560612e-17
4.125,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.2597662095174385,2.2591978025036506e-17,0.25707834514691663,3.693922891113898e-17,0.3359939619308407,4.965072772104989e-17,0.3524728896185697,1.2326796763013698e-16,0.0927066801011312,0.09539454447165308,0.016478927687729017,1.0067598960510047e-16,8.632873871899801e-17,7.361723990908709e-17
4.7124999999999995,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.2543821579298529,1.1333744021593488e-17,0.2754459989241644,4.6558886939786726e-17,0.3463441230417898,6.035847416173932e-17,0.3557177989939913,1.418235601777035e-16,0.1013356410641384,0.08027180006982693,0.00937367595220151,1.3048981615611e-16,9.526467323791678e-17,8.146508601596418e-17
5.3,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.24969217937213253,1.0913138626251826e-18,0.29650300800909635,5.692494534621827e-17,0.3560365925599832,7.130750267756225e-17,0.3584553878252077,1.599334895515858e-16,0.10876320845307516,0.06195237981611135,0.0024187952652244826,1.5884217568896063e-16,1.0300854420536753e-16,8.862598687402356e-17
5.8875,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.24560148416207422,2.608647115197329e-18,0.3168144995422377,6.721655346853571e-17,0.3636602259030667,8.198974725718475e-17,0.36074123276233144,1.7764272373915734e-16,0.11513974860025722,0.04392673322009372,-0.0029189931407352376,1.7503407662396002e-16,1.1042617027062163e-16,9.565297648197259e-17
6.475,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.24207787204250775,1.1606821266487056e-17,0.3337484465229323,7.656447625106973e-17,0.3685205969512779,9.195201266510225e-17,0.3626391755449663,1.9499033959084179e-16,0.12056130350245853,0.02889072902203399,-0.005881421406311649,1.8338351832435473e-16,1.1842586333977205e-16,1.0303832692573953e-16
7.0625,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.2391126574187376,1.6734514059132634e-17,0.34595501107740967,8.433995790324362e-17,0.3705186530777369,1.0087435641705716e-16,0.36421022517568585,2.120101166074495e-16,0.12509756775694825,0.018255214098276185,-0.00630842790205105,1.9527560254831686e-16,1.2767015870420587e-16,1.111357601903923e-16
7.65,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.23670240231167153,2.862468064540775e-17,0.35327144032212215,9.027726488953595e-17,0.3699378232433306,1.0858880478515729e-16,0.3655086931604017,2.2873263751255875e-16,0.12880629084873016,0.012237252838279533,-0.004429130082928889,2.0010795686715102e-16,1.384553726230228e-16,1.2014383272740145e-16
8.2375,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.2348406130613933,7.140620013767063e-19,0.35628833412426697,9.442367848337935e-17,0.3672398382380374,1.150558224984906e-16,0.3665812469136204,2.451868043993816e-16,0.13174063385222706,0.010292912789353403,-0.0006585913244170349,2.444727423980049e-16,1.5076312591600225e-16,1.30130981900891e-16
8.825,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.23351442403642175,2.7648264857725704e-17,0.35590169826478957,9.701282804784932e-17,0.36291920268314937,1.2032404861903862e-16,0.36746719634970265,2.614004544075003e-16,0.1339527723132809,0.011565498084913084,0.004547993666553285,2.337521895497746e-16,1.64387626359651e-16,1.410764057884617e-16
9.4125,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.23270385441565258,2.598158044865964e-17,0.3530126982799844,9.834644306898121e-17,0.3574217653611946,1.2449160107386512e-16,0.36819926998733776,2.7740035456642205e-16,0.13549541557168518,0.01518657170735338,0.010777504626143186,2.514187741177624e-16,1.7905391149744082e-16,1.5290875349255693e-16
10.0,1.0,1.5707963267948966,0.5,0.2,1.8,2,7,0.23238239127735477,2.752983747453254e-18,0.3483839536000921,9.87183398311614e-17,0.35111173110380745,1.2767705689972216e-16,0.3688045319701926,2.932119145311038e-16,0.1364221406928378,0.020420578370100473,0.01769280086638514,2.904589307836505e-16,1.9449357469994239e-16,1.6553485763138162e-16
0.6,1.0,1.5707963267948966,0.5,0.2,1.8,2,8,0.3875258706128541,3.603038842269087e-18,0.38268212838759436,1.7976143567132074e-18,0.4021687371179293,3.03372329212719e-18,0.3886497811445774,7.189889958597282e-18,0.0011239105317232823,0.005967652756983022,-0.013518955973351898,3.5868511163281945e-18,5.392275601884074e-18,4.156166666470092e-18
1.1875,1.0,1.5707963267948966,0.5,0.2,1.8,2,8,0.3306654583524356,2.2105796893250305e-17,0.3133858716823269,5.563158376707611e-18,0.3570606449310244,8.61254802078983e-18,0.3515140738376667,1.7914977975308677e-17,0.020848615485231092,0.038128202155339797,-0.005546571093357711,-4.190818917941628e-18,1.2351819598601066e-17,9.302429954518847e-18
1.775,1.0,1.5707963267948966,0.5,0.2,1.8,2,8,0.3012130823410807,4.694839690666928e-18,0.27198411074647777,1.019799248475258e-17,0.33362236669740797,1.514657776388439e-17,0.34522980298431555,2.8971140664127806e-17,0.04401672064323486,0.07324569223783778,0.01160743628690758,2.4276300973460878e-17,1.8773148179375228e-17,1.3824562900243415e-17
