key,status,error,timestamp,beta,theta,g,n_modes,n_cut,ordered_p00,ordered_coh,analytic_v12_p00,analytic_v12_coh,analytic_raw_p00,analytic_raw_coh,ed_p00,ed_coh,elapsed_s
9.87692308|3|5,ok,,2026-02-20 10:32:41,9.876923076923077,1.5707963267948966,0.5,3,5,0.1372586525968836,8.815521408774453e-18,0.23411170364757777,8.770081789980059e-17,1.0,3.7461099604552617e-16,0.24092222420535184,8.988912315421271e-18,0.021118399999977555
10.90769231|3|5,ok,,2026-02-20 10:32:41,10.907692307692308,1.5707963267948966,0.5,3,5,0.2773849835654745,1.831070588082525e-17,0.21266693469721615,8.061964910720126e-17,1.0,3.7908878228888256e-16,0.24160312835637415,9.441863985492972e-18,0.021652700001141056
11.93846154|3|5,ok,,2026-02-20 10:32:41,11.938461538461539,1.5707963267948966,0.5,3,5,0.35763853842659304,5.382389204600089e-18,0.19269160919733164,7.372426124913352e-17,1.0,3.8260234362363717e-16,0.2420421834892736,9.564286316038708e-18,0.021727700004703365
12.96923077|3|5,ok,,2026-02-20 10:32:41,12.969230769230771,1.5707963267948966,0.5,3,5,0.5,4.89424454820008e-34,0.17417710796848834,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.24232542773024907,9.442585939120016e-18,0.022030100000847597
14.00000000|3|5,ok,,2026-02-20 10:32:41,14.0,1.5707963267948966,0.5,3,5,0.40272163092673524,1.7789683261767347e-18,0.15709817374634244,6.091070677931855e-17,1.0,3.877238374401448e-16,0.24250827849892148,9.144026847767275e-18,0.021667200002411846
0.60000000|3|6,ok,,2026-02-20 10:32:41,0.6,1.5707963267948966,0.5,3,6,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552487e-18,0.2850312536948668,1.3946516865818997e-18,0.07614599999942584
1.63076923|3|6,ok,,2026-02-20 10:32:41,1.6307692307692307,1.5707963267948966,0.5,3,6,0.2682899329197803,1.403340444965622e-17,0.24044519035801237,2.4885139145322142e-17,0.97124012970106,1.142374206512359e-16,0.2187311013190162,1.4776119377047164e-17,0.0754746000020532
2.66153846|3|6,ok,,2026-02-20 10:32:41,2.661538461538462,1.5707963267948966,0.5,3,6,0.25144854926394866,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.23005061701203322,3.1727219584736274e-17,0.0776837000012165
3.69230769|3|6,ok,,2026-02-20 10:32:41,3.692307692307693,1.5707963267948966,0.5,3,6,0.24213482414738718,3.877449823331924e-18,0.3495480863455481,9.232230418945849e-17,1.0,2.6442446803553193e-16,0.24314926879147092,4.8344311765852115e-17,0.07728420000057667
4.72307692|3|6,ok,,2026-02-20 10:32:41,4.723076923076923,1.5707963267948966,0.5,3,6,0.23742741918963525,1.574619778330733e-17,0.35227422689598586,1.0817420831567946e-16,1.0,3.0711847185682216e-16,0.2523218722172855,6.456106543505976e-17,0.07632930000545457
5.75384615|3|6,ok,,2026-02-20 10:32:41,5.753846153846154,1.5707963267948966,0.5,3,6,0.23665901907701614,6.974040805869295e-18,0.33203702151452463,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.2582522377731544,8.046620389903503e-17,0.07496469999750843
6.78461538|3|6,ok,,2026-02-20 10:32:42,6.784615384615385,1.5707963267948966,0.5,3,6,0.23911044856660046,6.7883896928914895e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.26198728655874887,9.622915354201047e-17,0.07607190000271657
7.81538462|3|6,ok,,2026-02-20 10:32:42,7.815384615384616,1.5707963267948966,0.5,3,6,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.608258103504782e-16,0.2643171009327809,1.119866887991278e-16,0.07651059999625431
8.84615385|3|6,ok,,2026-02-20 10:32:42,8.846153846153847,1.5707963267948966,0.5,3,6,0.24916584326820096,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.2657671266215743,1.278168879071787e-16,0.07694260000425857
9.87692308|3|6,ok,,2026-02-20 10:32:42,9.876923076923077,1.5707963267948966,0.5,3,6,0.1372586525968836,8.815521408774453e-18,0.23411170364757777,8.770081789980059e-17,1.0,3.7461099604552617e-16,0.26667073445512457,1.437508661835883e-16,0.07597970000642817
10.90769231|3|6,ok,,2026-02-20 10:32:42,10.907692307692308,1.5707963267948966,0.5,3,6,0.2773849835654745,1.831070588082525e-17,0.21266693469721615,8.061964910720126e-17,1.0,3.7908878228888256e-16,0.2672353840919142,1.5979118860553705e-16,0.07674570000381209
11.93846154|3|6,ok,,2026-02-20 10:32:42,11.938461538461539,1.5707963267948966,0.5,3,6,0.35763853842659304,5.382389204600089e-18,0.19269160919733164,7.372426124913352e-17,1.0,3.8260234362363717e-16,0.2675893487889987,1.7592632640365135e-16,0.07589349999761907
12.96923077|3|6,ok,,2026-02-20 10:32:42,12.969230769230771,1.5707963267948966,0.5,3,6,0.5,4.89424454820008e-34,0.17417710796848834,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.2678119250364285,1.9213968206065685e-16,0.07705809999606572
