window_name,window_family,case,n_modes,n_cut,bandwidth,omega_min,omega_max,detune_over_omega_q,tail_fraction,rmse_ed_vs_ordered_p00,rmse_ed_vs_cont_p00,rmse_ed_vs_disc_p00,rmse_ed_vs_ordered_coh,rmse_ed_vs_cont_coh,rmse_ed_vs_disc_coh,p00_at_beta2,p00_at_beta8
center_d0.50,centered,m3c5,3,5,1.0,0.5,1.5,0.0,0.8266414672967757,0.03287556322616787,0.09646508915306282,0.10481273243600366,2.784889210746029e-17,2.35994613002505e-17,2.8719095513543967e-17,0.2693715834838449,0.19376016011841218
center_d0.50,centered,m3c4,3,4,1.0,0.5,1.5,0.0,0.8266414672967757,0.030545693556002403,0.09696214527179238,0.10602466828180351,7.43873809379848e-17,2.4760197905802313e-17,1.9253114051465588e-17,0.2644093879813961,0.19215272772202682
ratio_r3.0,ratio,m2c4,2,4,2.95,0.05,3.0,0.95,0.5578254003710745,0.05021455291990741,0.0702831561883397,0.10728995099463956,1.6969419232974615e-16,1.1301174995169451e-16,8.661883173744187e-17,0.2691772989133554,0.26570366858944977
ratio_r6.0,ratio,m2c4,2,4,5.95,0.05,6.0,0.95,0.19914827347145578,0.05600230037906745,0.06002175308995965,0.11080890349146215,5.1388336063269215e-16,4.63355663237359e-16,4.26619719591521e-16,0.26693410669752726,0.287548362080675
ratio_r4.0,ratio,m2c4,2,4,3.95,0.05,4.0,0.95,0.4060058497098381,0.05701108216438537,0.06904486744657545,0.11143145136255757,3.012419136376908e-16,2.4394782538494455e-16,2.1195664516560114e-16,0.2651844553629931,0.27263018818489
ratio_r5.0,ratio,m2c4,2,4,4.95,0.05,5.0,0.95,0.2872974951836458,0.05822081063764701,0.06554788454683003,0.11254318225739333,4.533704380208158e-16,3.9983252585573143e-16,3.648695458091876e-16,0.26428915946670445,0.27967251518404457
center_d0.50,centered,m4c6,4,6,1.0,0.5,1.5,0.16666666666666652,0.8266414672967757,0.01464877305539851,0.1121748871066309,0.11970772620973309,6.504093442074863e-17,1.8599249271412323e-17,1.4407912966128165e-17,0.2592884453692257,0.1679679275461752
center_d0.50,centered,m4c5,4,5,1.0,0.5,1.5,0.16666666666666652,0.8266414672967757,0.014196678275825,0.1121173794333718,0.11974706436724793,3.6906987757922866e-17,1.8669954033661457e-17,2.0803926839949202e-17,0.2575050496278617,0.1679109438465562
center_d0.50,centered,m4c4,4,4,1.0,0.5,1.5,0.16666666666666652,0.8266414672967757,0.012968242541614949,0.11227007202913311,0.12015880925269001,6.888963862594154e-17,1.902572796300037e-17,1.5280151550748687e-17,0.2536538973226718,0.1673996650677198
center_d0.30,centered,m2c6,2,6,0.6000000000000001,0.7,1.3,0.30000000000000004,0.8613755316556764,0.05023835213328546,0.11398192750384506,0.13197471311480455,4.0823169340561365e-17,1.5905646621830137e-17,1.685731958821737e-17,0.24837440728152274,0.14585650937266048
center_d0.30,centered,m2c5,2,5,0.6000000000000001,0.7,1.3,0.30000000000000004,0.8613755316556764,0.04987827952540052,0.11387897610844169,0.1320344832977355,8.106805305646295e-17,4.2561717777597306e-17,3.23908795713237e-17,0.24699443584838568,0.14577424828513008
center_d0.30,centered,m2c4,2,4,0.6000000000000001,0.7,1.3,0.30000000000000004,0.8613755316556764,0.0485025396113569,0.11392029338242847,0.13263556789096856,4.6597058915875583e-17,1.7549636417475892e-17,1.4785301876403393e-17,0.24358683907949952,0.14499124319547868
center_d0.30,centered,m3c6,3,6,0.6000000000000001,0.7,1.3,0.0,0.8613755316556764,0.01647381173205525,0.1369923555348949,0.15169939909216112,8.846891337818971e-17,4.8224098745840804e-17,4.301561176617375e-17,0.22205817095279085,0.10384207886251598
center_d0.30,centered,m3c5,3,5,0.6000000000000001,0.7,1.3,0.0,0.8613755316556764,0.016308929017649045,0.13696733977767336,0.151702193897581,9.436882810183203e-18,4.457287553595701e-17,4.8724207169243916e-17,0.22136196504523709,0.10383824867313324
